Esa-Jussi Salminen Sukukansapolitiikka Iževsk,5
Liike Nyt,2016
Petrus Pennanen,1609
Liike,341
Uudenmaan Liberaalit,340
Feministinen puolue,304
Kalevi Sorsa -säätiö,281
Elinkeinoelämän keskusliitto EK,229
Liberaalipuolue,196
Piraattipuolue,170
Helene Auramo,166
Mirita Saxberg - kansanedustajasi,128
Teija Makkonen,81
Kimmo Kuusiranta  Liike Nyt,80
Joukkovoima hallituspolitiikkaa vastaan,78
Eeli Kytömäki,67
Petri Suuronen - Uusimaa 242,60
Kansanedustajaehdokas Nina Nummela,54
Wille Dahl - Piraattipuolue,53
Leo Bergman,51
Asko Nurminen,50
JP Väisänen,47
Jari Robson - Piraattipuolue,40
Saga Nyrén - Piraattipuolue,40
Olli Kopakkala,36
Minna Karvonen,34
Kimmo Moilanen - Seitsemän tähden liike,34
Tekniset Demarit ry,32
Jarno Alastalo,32
Paavo Väyrynen,27
Ari-Martti - Piraattipuolue,26
Anna Jensen,25
Jani Meronen - Liberaalipuolue - Vapaus valita,23
Emilia Taskinen,22
Poliitikko Piia Koo,21
Ismo Nöjd eduskuntavaaliehdokas,20
Akseli Erkkilä - Aksu politiikassa,20
Johannes Koski,19
Teija Makkonen - Liike Nyt,16
Tiia-Henriikka Rantanen,16
Ehdokas Jaakko Ukkola,14
"Markku Brask, Piraattipuolue 215 Uusimaa",14
Krista Eduskuntaan 2019,13
Hjallis,13
Minna Engström - Liike Nyt,13
Satu Kurki -Vaalisivusto - Liike Nyt,13
Eläinoikeuspuolue,13
Jumalauta,12
Janne Uotila - PIR,12
Tarja Simonen,11
Petri Eronen,10
Tuuli Kamppila,10
Annele Wiman - Liike Nyt,9
Ugur Yildiz,9
Kieltolaki kumoon 2020,9
Tiia Löfqvist - PIR,8
"Jukka Karhu, eduskuntavaaliehdokas Liike Nyt",7
Kimmo Kautio - Kokoaan Suurempi Suomi,6
Juri Nieminen,5
Eduskuntavaaliehdokas Timo Markkula,5
Meän Heidi,5
Helsingin piraatit,4
Anton Murola - Liberaalipuolue,4
Secrets Open,4
Elina Sagne-Ollikainen,3
Joni Ojala - 237 - Uusimaa,3
Simo Toivanen - Ihmisen ääni,3
Annamaija Saarela,3
Janne Ahonen,3
Janne Rummakko Eduskuntaan 2019,3
Sami Kilpeläinen,2
Eliisa Kuusama - Liberaalipuolue,2
Susanna Riekkinen Eduskuntaan,2
Realistinen Utopia,2
Jaakko Perttunen,2
Nina J. Hedkrok Eduskuntaan,2
"Ville Nissi, kansanedustajaehdokas",1
Juha Paulus Tepsa,1
Ari Toropainen Eduskuntaan 2019,1
Shennandoah Beaumont - SKP - sitoutumaton,1
Teemu Soini - Liike Nyt,1
Rehtiliike,1
